公司名稱,股票代號,非主管年薪中位數(萬)
中連,5604,71.6
捷波,6161,71.6
光鼎,6226,71.6
定穎投控,3715,71.5
合正,5381,71.5
程泰,1583,71.4
訊聯,1784,71.4
光洋科,1785,71.4
大同,2371,71.4
康聯訊,3672,71.4
華懋,5292,71.4
臺龍,6246,71.4
來思達,8066,71.4
無敵,8201,71.4
星宇航空,2646,71.3
元創精密,3685,71.3
翔名,8091,71.3
高林股,1531,71.2
大世科,8099,71.2
合世,1781,71
光罩,2338,71
中美實,4702,71
鑫科,3663,70.9
華興,6164,70.9
青新-創,6951,70.9
陽程,3498,70.8
達航科技,4577,70.7
雙美,4728,70.7
LINEPAY,7722,70.7
光聖,6442,70.6
昱展新藥,6785,70.6
富世達,6805,70.6
欣欣,2901,70.5
鑫創電子,6680,70.5
西勝,3625,70.4
富威電力,6994,70.4
伸興,1558,70.3
永豐餘,1907,70.3
聯光通,4903,70.3
大城地產,6171,70.3
鋐寶科技,6674,70.3
裕山,7715,70.3
連宇,2482,70.2
松瑞藥,4167,70.1
沛爾生醫-創,6949,70.1
保銳,8093,70.1
台亞,2340,70
奇鈦科,3430,70
德晉,3466,70
櫻花,9911,70
富喬,1815,69.9
康普,4739,69.9
天鉞電,5251,69.9
立敦,6175,69.9
年興,1451,69.8
今皓,3011,69.8
雷笛克光學,5230,69.7
東捷資訊,6697,69.7
正新,2105,69.6
京元電子,2449,69.6
智聯服務,6751,69.6
廣隆,1537,69.5
上奇,6123,69.5
鏵友益,6877,69.5
華研,8446,69.5
三晃,1721,69.4
美亞,2020,69.4
云辰,2390,69.4
新至陞,3679,69.4
十銓,4967,69.4
永光,1711,69.3
元禎,1725,69.2
欣興,3037,69.2
泰偉,3064,69.2
雃博,4106,69.2
驊宏資,6148,69.2
華紙,1905,69.1
倫飛,2364,69.1
彩富,5489,69.1
大展證,6020,69.1
精金,3049,69
環泰,4207,69
國眾,5410,69
鎰勝,6115,69
數泓科,6855,69
明安,8938,69
新保,9925,69
川飛,1516,68.9
大山,1615,68.9
互盛電,2433,68.9
嘉里大榮,2608,68.9
碩禾,3691,68.9
力成,6239,68.9
興農,1712,68.8
超豐,2441,68.8
三星,5007,68.8
潤泰材,8463,68.8
和桐,1714,68.7
凱撒衛,1817,68.7
艾姆勒,2241,68.7
捷迅,2643,68.7
夆典,3052,68.7
台星科,3265,68.7
全國電,6281,68.7
達亞,6762,68.7
